invoiceNumber,ClientName,PONumber,Hostname,SerialNumber,Product,ConfirmedDate,ItemDescription,Quantity,Price
101133382,Siegel & Strain Architects,,ARCSOURCEBDR509,d05099d06575,S3P4000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR509 with serial d05099d06575 (1 Year Retention) - 3.13TB offsite,1,449.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR509 with serial d05099d06575,1,-157.15
101133382,Gast Architects,,ARCSOURCEBDR511,d05099d06f8d,S3P4000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR511 with serial d05099d06f8d (1 Year Retention) - 3.65TB offsite,1,449.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR511 with serial d05099d06f8d,1,-157.15
101133382,,,ARCSOURCEBDR516,e0d55e60f944,S3B3000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR516 with serial e0d55e60f944 (1 Year Retention) - 3.46TB offsite,1,379.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR516 with serial e0d55e60f944,1,-132.65
101133382,Harriman Kinyon Architects, Inc.,,ARCSOURCEBDR517,d05099d06d7d,S3P4000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR517 with serial d05099d06d7d (1 Year Retention) - 2.19TB offsite,1,449.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR517 with serial d05099d06d7d,1,-157.15
101133382,Swatt Miers Architects,,ARCSOURCEBDR508,d05099d06d95,S3P6000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR508 with serial d05099d06d95 (1 Year Retention) - 3.85TB offsite,1,649.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR508 with serial d05099d06d95,1,-227.15
101133382,Energy Solutions,,ARCSOURCEBDR520,d05099d06b73,S3P6000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR520 with serial d05099d06b73 (1 Year Retention) - 3.36TB offsite,1,649.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR520 with serial d05099d06b73,1,-227.15
101133382,FTF Engineering,,ARCSOURCEBDR523,d05099d07d1e,S3B3000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR523 with serial d05099d07d1e - 1.7TB offsite,1,349.00
101133382,Kessler + Kessler,,ARCSOURCEBDR524,d05099d07e4c,S3B3000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR524 with serial d05099d07e4c - 561.42MB offsite,1,349.00
101133382,Ana Williamson Architect,,ARCSOURCEBDR528,1c1b0dfd2dda,S3X4,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR528 with serial 1c1b0dfd2dda (1 Year Retention) - 0KB offsite,1,399.00
101133382,FTF Engineering,,ARCSOURCEBDR526,78f29e915237,L3A2000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR526 with serial 78f29e915237 for 1 agents (1 Year Retention) - 419.16GB offsite,1,79.00
101133382,International Child Resource Institute,,ARCSOURCEBDR525,78f29e916b5a,L3A2000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR525 with serial 78f29e916b5a for 1 agents (1 Year Retention) - 108.68GB offsite,1,79.00
101133382,Loisos & Ubbelohde,,ARCSOURCEBDR529,e0d55eef4b5b,S3E12000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR529 with serial e0d55eef4b5b Prorated for 27 days (Infinite Cloud) - 0KB offsite,1,899.10
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR529 with serial e0d55eef4b5b,1,-314.69
101133382,Turnbull Griffin Haesloop,,ARCSOURCEBDR527,d05099d174ba,S3B3000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR527 with serial d05099d174ba (Infinite Cloud) - 1.8TB offsite,1,459.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR527 with serial d05099d174ba,1,-160.65
101133382,Paulett Taggart Architects Inc,,ARCSOURCEBDR530,d05099d17364,S3B3000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR530 with serial d05099d17364 Prorated for 27 days (Infinite Cloud) - 0KB offsite,1,413.10
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR530 with serial d05099d17364,1,-144.59
